,id,name,rot_num,line_id,price,handicap,selection,home_team,away_team
195,1598706000,Under,285,4467713437,1.704,4.5,Sam LaPorta (Receptions),Dallas Cowboys,Detroit Lions
196,1598706002,Over,284,4467665630,,3.5,Jameson Williams (Receptions),Dallas Cowboys,Detroit Lions
197,1598706003,Under,285,4467665631,,3.5,Jameson Williams (Receptions),Dallas Cowboys,Detroit Lions
198,1598706011,Over,284,4467716290,2.34,3.5,Jahmyr Gibbs (Receptions),Dallas Cowboys,Detroit Lions
199,1598706012,Under,285,4467716291,1.606,3.5,Jahmyr Gibbs (Receptions),Dallas Cowboys,Detroit Lions
200,1598755272,Over,282,4467708559,1.943,3.5,Xavier Legette (Receptions),Carolina Panthers,Atlanta Falcons
201,1598755273,Under,283,4467708560,1.877,3.5,Xavier Legette (Receptions),Carolina Panthers,Atlanta Falcons
202,1598755278,Over,282,4467757074,2.14,3.5,Bijan Robinson (Receptions),Carolina Panthers,Atlanta Falcons
203,1598755279,Under,283,4467757075,1.719,3.5,Bijan Robinson (Receptions),Carolina Panthers,Atlanta Falcons
204,1598755281,Over,282,4467698549,2.23,3.5,Chuba Hubbard (Receptions),Carolina Panthers,Atlanta Falcons
205,1598755282,Under,283,4467698550,1.666,3.5,Chuba Hubbard (Receptions),Carolina Panthers,Atlanta Falcons
206,1598759703,Over,282,4467709082,1.689,2.5,Jonathan Mingo (Receptions),Carolina Panthers,Atlanta Falcons
207,1598759704,Under,283,4467709083,2.19,2.5,Jonathan Mingo (Receptions),Carolina Panthers,Atlanta Falcons
208,1598759872,Over,284,4467668518,1.97,1.5,Tim Patrick (Receptions),Dallas Cowboys,Detroit Lions
209,1598759873,Under,285,4467668519,1.847,1.5,Tim Patrick (Receptions),Dallas Cowboys,Detroit Lions
210,1598760024,Over,282,4467668416,2.52,1.5,Tyler Allgeier (Receptions),Carolina Panthers,Atlanta Falcons
211,1598760025,Under,283,4467668417,1.529,1.5,Tyler Allgeier (Receptions),Carolina Panthers,Atlanta Falcons
212,1598762307,Over,284,4467725000,2.16,1.5,Jalen Brooks (Receptions),Dallas Cowboys,Detroit Lions
213,1598762308,Under,285,4467725001,1.709,1.5,Jalen Brooks (Receptions),Dallas Cowboys,Detroit Lions
214,1598764648,Over,282,4467709109,2.05,2.5,Ja'Tavion Sanders (Receptions),Carolina Panthers,Atlanta Falcons
215,1598764649,Under,283,4467709110,1.787,2.5,Ja'Tavion Sanders (Receptions),Carolina Panthers,Atlanta Falcons
216,1598771314,Over,282,4467708604,1.581,1.5,Miles Sanders (Receptions),Carolina Panthers,Atlanta Falcons
217,1598771315,Under,283,4467708605,2.4,1.5,Miles Sanders (Receptions),Carolina Panthers,Atlanta Falcons
218,1598806460,Over,284,4467666223,2.29,2.5,KaVontae Turpin (Receptions),Dallas Cowboys,Detroit Lions
219,1598806461,Under,285,4467666224,1.632,2.5,KaVontae Turpin (Receptions),Dallas Cowboys,Detroit Lions
220,1598706432,Under,287,4467884010,2.1,4.5,Tee Higgins (Receptions),New York Giants,Cincinnati Bengals
221,1598706431,Over,286,4467884009,1.74,4.5,Tee Higgins (Receptions),New York Giants,Cincinnati Bengals
222,1598706434,Over,286,4467883553,1.666,5.5,Ja'Marr Chase (Receptions),New York Giants,Cincinnati Bengals
223,1598706435,Under,287,4467883554,2.22,5.5,Ja'Marr Chase (Receptions),New York Giants,Cincinnati Bengals
224,1598755164,Over,286,4467884067,1.699,5.5,Wan'Dale Robinson (Receptions),New York Giants,Cincinnati Bengals
225,1598755165,Under,287,4467884068,2.17,5.5,Wan'Dale Robinson (Receptions),New York Giants,Cincinnati Bengals
226,1598755269,Over,286,4467883985,2.07,4.5,Darius Slayton (Receptions),New York Giants,Cincinnati Bengals
227,1598755270,Under,287,4467883986,1.769,4.5,Darius Slayton (Receptions),New York Giants,Cincinnati Bengals
228,1598755320,Over,286,4467884047,2.25,2.5,Andrei Iosivas (Receptions),New York Giants,Cincinnati Bengals
229,1598755321,Under,287,4467884048,1.649,2.5,Andrei Iosivas (Receptions),New York Giants,Cincinnati Bengals
230,1598755450,Over,286,4467884441,1.602,2.5,Theo Johnson (Receptions),New York Giants,Cincinnati Bengals
231,1598755451,Under,287,4467884442,2.35,2.5,Theo Johnson (Receptions),New York Giants,Cincinnati Bengals
232,1598757726,Over,286,4467883995,1.769,2.5,Zack Moss (Receptions),New York Giants,Cincinnati Bengals
233,1598757727,Under,287,4467883996,2.08,2.5,Zack Moss (Receptions),New York Giants,Cincinnati Bengals
234,1598757729,Over,286,4467884039,1.526,1.5,Chase Brown (Receptions),New York Giants,Cincinnati Bengals
235,1598757730,Under,287,4467884040,2.53,1.5,Chase Brown (Receptions),New York Giants,Cincinnati Bengals
236,1598756855,Over,286,4467883943,2.11,2.5,Mike Gesicki (Receptions),New York Giants,Cincinnati Bengals
237,1598756856,Under,287,4467883944,1.746,2.5,Mike Gesicki (Receptions),New York Giants,Cincinnati Bengals
238,1598764651,Over,286,4467884061,1.512,1.5,Erick All Jr. (Receptions),New York Giants,Cincinnati Bengals
